d mm;% finer;Summenlinie
0,0002;;0,02664677
0,00063;;0,02664677
0,0015;2,664677041;0,02664677
0,0077;5,329354082;0,053293541
0,022;13,32338521;0,133233852
0,063;;0,133233852
0,1;;0,133233852
0,125;;0,133233852
0,18;;0,133233852
0,2;;0,133233852
0,25;;0,133233852
0,355;;0,133233852
0,4;18,65273929;0,186527393
0,5;;0,186527393
0,63;;0,186527393
0,71;;0,186527393
1;23,98209337;0,239820934
1,4;;0,239820934
2;;0,239820934
4;30,64378597;0,30643786
7;37,30547858;0,373054786
10;50,62886378;0,506288638
13;61,18098486;0,611809849
21;71,73310595;0,717331059
25;82,40247282;0,824024728
42;93,07183969;0,930718397
81;100;1
